county_id,distribution_total_m
1633,118252.498658871
1696,280143.471040243
2382,27552.3766515704
2433,51576.7926947936
3069,112256.257466804
82,55420.6337939939
507,133016.984508019
2711,215270.065848472
1371,963317.487350455
37,114758.475248346
1116,142874.6860345
2366,88334.6944737896
2942,685643.514375425
2893,99679.0936335879
1644,147627.977895853
2965,79020.3103806718
2079,2176588.44634189
1411,154576.611763544
2864,77578.0719067973
333,14329.8248380469
2439,59242.1647594939
2244,62540.9370773822
2947,63408.3413681653
1244,141885.001797107
343,55328.3376411713
2002,80142.1407033032
2026,183116.856180678
14,27964.9618430013
1288,185287.674399161
1266,188074.348782222
2950,250535.77363313
600,30042.9018811681
745,43437.4460495266
772,73593.4359534289
880,824863.964892115
2188,482278.626228061
208,49347.413328029
1731,285365.092408309
730,256438.331426192
2778,145130.121124574
1645,192940.453747043
2107,747113.496054172
1394,58590.4009103509
530,31186.4078497558
